Startup Name;Industry;Funding Rounds; Investment Amount (USD)  ;Investment Amount (K USD) ; Valuation (USD) ;Valuation (K USD);Number of Investors;Country;Year Founded;Growth Rate (%);Ranking by value;Old;ROI (%);Average investment per round (K USD) 
Startup_2360;SaaS;9; $409.094.461.582 ;409094,46; $1.997.872.983.905.980 ;1997872983,91;15;Singapore;2021; 8.291 ;Superunicorn;4;4882,647107;27272,96411
Startup_2361;SaaS;1; $83.817.634.586 ;83817,63; $24.135.216.611.690.500 ;24135216611,69;3;USA;2010; 10.819 ;Superunicorn;15;287948,1497;27939,21153
Startup_2362;E-commerce;9; $120.898.830.002 ;120898,83; $4.114.543.261.259.100 ;4114543261,26;31;Brazil;2009; 1.397 ;Superunicorn;16;34031,94524;3899,962258
Startup_2363;E-commerce;4; $105.406.147.097 ;105406,15; $4.814.794.606.700.060 ;4814794606,70;48;France;2011; 10.488 ;Superunicorn;14;45677,49921;2195,961398
Startup_2364;Blockchain;7; $429.521.228.257 ;429521,23; $14.743.418.634.791.400 ;14743418634,79;28;USA;2014; 19.058 ;Superunicorn;11;34324,23858;15340,04387
Startup_2365;E-commerce;9; $188.529.001.345 ;188529,00; $8.154.347.230.425.220 ;8154347230,43;29;Singapore;2016; 404 ;Superunicorn;9;43251,48196;6501,000046
Startup_2366;SaaS;6; $423.367.411.201 ;423367,41; $17.972.354.743.738.600 ;17972354743,74;50;Singapore;2020; 4.546 ;Superunicorn;5;42449,96403;8467,348224
Startup_2367;HealthTech;8; $28.476.712.065 ;28476,71; $1.158.166.845.955.450 ;1158166845,96;33;China;2011; 3.281 ;Superunicorn;14;40669,66603;862,9306686
Startup_2368;Biotech;8; $45.585.525.013 ;45585,53; $8.173.571.998.226.580 ;8173571998,23;36;Germany;2014; 18.842 ;Superunicorn;11;179300,9165;1266,264584
Startup_2369;Biotech;9; $48.279.872.767 ;48279,87; $1.734.791.848.769.040 ;1734791848,77;40;Germany;2017; 7.739 ;Superunicorn;8;35930,98883;1206,996819
Startup_2370;Biotech;4; $126.818.451.676 ;126818,45; $4.161.049.946.146.340 ;4161049946,15;22;France;2011; 19.755 ;Superunicorn;14;32810,07671;5764,475076
Startup_2371;Blockchain;5; $82.012.440.865 ;82012,44; $35.088.430.220.661.000 ;35088430220,66;44;France;2005; 7.587 ;Superunicorn;20;427841,7742;1863,919111
Startup_2372;Biotech;6; $49.054.262.560 ;49054,26; $1.141.363.512.044.030 ;1141363512,04;20;China;2015; 12.674 ;Superunicorn;10;23266,36664;2452,713128
Startup_2373;Biotech;6; $376.633.998.615 ;376634,00; $1.728.799.557.637.330 ;1728799557,64;19;Singapore;2009; 14.263 ;Superunicorn;16;4589,131438;19822,84203
Startup_2374;Blockchain;1; $127.180.384.357 ;127180,38; $2.674.824.574.401.070 ;2674824574,40;29;USA;2021; 14.688 ;Superunicorn;4;21030,73841;4385,530495
Startup_2375;AI;3; $491.463.355.903 ;491463,36; $2.428.924.772.093.920 ;2428924772,09;20;USA;2007; 3.196 ;Superunicorn;18;4941,229655;24573,1678
Startup_2376;SaaS;6; $90.623.103.838 ;90623,10; $32.632.479.973.591.800 ;32632479973,59;35;Australia;2004; 5.064 ;Superunicorn;21;360089,0719;2589,231538
Startup_2377;SaaS;3; $3.575.505.965 ;3575,51; $10.752.960.827.418.400 ;10752960827,42;14;USA;2010; 6.971 ;Superunicorn;15;3007394,578;255,3932832
Startup_2378;SaaS;6; $208.442.723.357 ;208442,72; $36.088.903.256.052.400 ;36088903256,05;46;Germany;2019; 17.324 ;Superunicorn;6;173134,8268;4531,363551
Startup_2379;SaaS;2; $182.569.497.201 ;182569,50; $2.989.870.380.731.560 ;2989870380,73;1;India;2013; 11.079 ;Superunicorn;12;16375,61508;182569,4972
Startup_2380;Biotech;10; $419.272.492.687 ;419272,49; $1.084.293.254.147.020 ;1084293254,15;3;India;2011; 11.205 ;Superunicorn;14;2585,130197;139757,4976
Startup_2381;E-commerce;4; $183.749.894.409 ;183749,89; $69.490.028.702.677.400 ;69490028702,68;36;France;2022; 1.373 ;Superunicorn;3;378176,2443;5104,163734
Startup_2382;Fintech;7; $299.340.322.619 ;299340,32; $10.084.147.575.628.700 ;10084147575,63;7;Australia;2005; 3.162 ;Superunicorn;20;33686,90241;42762,90323
Startup_2383;HealthTech;3; $126.047.220.885 ;126047,22; $42.490.815.252.598.600 ;42490815252,60;42;China;2023; 5.367 ;Superunicorn;2;337101,357;3001,124307
Startup_2384;E-commerce;10; $166.087.183.279 ;166087,18; $27.702.347.739.634.200 ;27702347739,63;36;Canada;2018; 9.558 ;Superunicorn;7;166793,0126;4613,532869
Startup_2385;Blockchain;1; $16.394.692.188 ;16394,69; $6.236.853.500.294.070 ;6236853500,29;1;USA;2015; 8.642 ;Superunicorn;10;380418,0667;16394,69219
Startup_2386;AI;9; $261.232.086.656 ;261232,09; $4.728.946.855.199.380 ;4728946855,20;23;France;2010; 11.065 ;Superunicorn;15;18101,47323;11357,91681
Startup_2387;AI;1; $26.920.984.619 ;26920,98; $7.933.282.798.813.720 ;7933282798,81;46;Singapore;2006; 8.651 ;Superunicorn;19;294686,6911;585,2387961
Startup_2388;Biotech;5; $6.729.463.932 ;6729,46; $1.611.061.300.626.670 ;1611061300,63;41;France;2014; 3.115 ;Superunicorn;11;239403,1066;164,1332666
Startup_2389;Fintech;8; $33.759.263.352 ;33759,26; $13.918.356.518.384.000 ;13918356518,38;29;Canada;2019; 16.011 ;Superunicorn;6;412281,5896;1164,112529
Startup_2390;Fintech;8; $272.615.293.375 ;272615,29; $7.900.731.522.608.560 ;7900731522,61;39;Singapore;2018; 1.038 ;Superunicorn;7;28980,24835;6990,135728
Startup_2391;HealthTech;1; $45.135.657.494 ;45135,66; $19.723.356.753.260.600 ;19723356753,26;42;France;2008; 12.342 ;Superunicorn;17;436978,4936;1074,658512
Startup_2392;E-commerce;10; $340.699.729.929 ;340699,73; $15.227.102.137.376.300 ;15227102137,38;1;Germany;2023; 14.999 ;Superunicorn;2;44692,61376;340699,7299
Startup_2393;HealthTech;2; $392.954.490.008 ;392954,49; $12.899.980.789.506.800 ;12899980789,51;24;Canada;2020; 7.858 ;Superunicorn;5;32827,18015;16373,10375
Startup_2394;Biotech;1; $308.588.711.657 ;308588,71; $1.380.143.317.718.390 ;1380143317,72;40;UK;2019; 11.512 ;Superunicorn;6;4471,436177;7714,717791
Startup_2395;Fintech;9; $392.582.951.933 ;392582,95; $1.929.131.305.920.690 ;1929131305,92;42;Canada;2014; 9.878 ;Superunicorn;11;4912,945693;9347,213141
Startup_2396;Fintech;4; $429.675.684.536 ;429675,68; $11.655.122.553.481.900 ;11655122553,48;23;Australia;2007; 7.585 ;Superunicorn;18;27124,39474;18681,5515
Startup_2397;E-commerce;8; $236.850.725.306 ;236850,73; $10.127.395.449.572.600 ;10127395449,57;38;France;2017; 13.755 ;Superunicorn;8;42757,55789;6232,913824
Startup_2398;EdTech;7; $29.305.491.876 ;29305,49; $4.970.278.878.296.840 ;4970278878,30;11;UK;2019; 15.993 ;Superunicorn;6;169601,3018;2664,135625
Startup_2399;Fintech;8; $33.019.787.243 ;33019,79; $9.789.433.771.875.850 ;9789433771,88;27;Brazil;2013; 13.402 ;Superunicorn;12;296470,7398;1222,955083
Startup_2400;AI;4; $289.443.363.979 ;289443,36; $7.221.133.887.174.200 ;7221133887,17;23;UK;2012; 17.721 ;Superunicorn;13;24947,3484;12584,49409
Startup_2401;E-commerce;7; $5.581.436.481 ;5581,44; $2.001.315.845.740.730 ;2001315845,74;20;UK;2023; 1.075 ;Superunicorn;2;358565,4466;279,0718241
Startup_2402;AI;7; $31.762.622.507 ;31762,62; $9.274.407.984.456.960 ;9274407984,46;21;Australia;2009; 10.891 ;Superunicorn;16;291990,2543;1512,505834
Startup_2403;Biotech;1; $296.318.709.412 ;296318,71; $11.531.919.756.109.800 ;11531919756,11;8;Brazil;2008; 4.628 ;Superunicorn;17;38916,28531;37039,83868
Startup_2404;AI;2; $290.157.023.982 ;290157,02; $524.237.469.524.132 ;524237469,52;42;France;2006; 15.283 ;Superunicorn;19;1805,737133;6908,500571
Startup_2405;HealthTech;7; $65.019.787.631 ;65019,79; $2.869.756.871.158.340 ;2869756871,16;22;Canada;2010; 14.096 ;Superunicorn;15;44135,6694;2955,444892
Startup_2406;SaaS;2; $139.233.824.572 ;139233,82; $5.451.911.728.158.660 ;5451911728,16;40;Brazil;2013; 6.258 ;Superunicorn;12;39155,51779;3480,845614
Startup_2407;EdTech;8; $460.926.139.543 ;460926,14; $1.865.708.278.393.310 ;1865708278,39;36;Australia;2019; 3.621 ;Superunicorn;6;4046,738061;12803,50388
Startup_2408;EdTech;1; $271.209.452.624 ;271209,45; $10.493.141.988.107.300 ;10493141988,11;38;France;2002; 9.803 ;Superunicorn;23;38689,17797;7137,090859
Startup_2409;HealthTech;6; $353.118.280.479 ;353118,28; $820.495.339.522.177 ;820495339,52;10;UK;2001; 5.251 ;Superunicorn;24;2322,57084;35311,82805
Startup_2410;Biotech;3; $19.776.408.034 ;19776,41; $8.066.629.155.508.610 ;8066629155,51;5;Singapore;2007; 5.501 ;Superunicorn;18;407890,5211;3955,281607
Startup_2411;AI;8; $71.448.441.285 ;71448,44; $3.559.427.579.176.900 ;3559427579,18;24;Brazil;2018; 11.047 ;Superunicorn;7;49817,1278;2977,018387
Startup_2412;Biotech;9; $320.454.211.347 ;320454,21; $13.255.651.099.894.200 ;13255651099,89;34;China;2018; 10.345 ;Superunicorn;7;41364,1955;9425,123863
Startup_2413;AI;4; $377.819.582.933 ;377819,58; $9.274.357.125.822.570 ;9274357125,82;20;India;2001; 5.555 ;Superunicorn;24;24546,05247;18890,97915
Startup_2414;SaaS;3; $318.099.752.821 ;318099,75; $9.688.764.678.464.200 ;9688764678,46;23;Australia;2023; 12.528 ;Superunicorn;2;30457,25906;13830,42404
Startup_2415;Blockchain;9; $236.707.632.112 ;236707,63; $6.987.748.933.346.800 ;6987748933,35;25;Germany;2005; 2.253 ;Superunicorn;20;29519,5899;9468,305284
Startup_2416;SaaS;5; $6.165.536.093 ;6165,54; $19.633.720.137.232.000 ;19633720137,23;49;Canada;2011; 9.846 ;Superunicorn;14;3184429,33;125,8272672
Startup_2417;SaaS;4; $44.313.192.416 ;44313,19; $2.149.255.702.302.850 ;2149255702,30;39;UK;2017; 19.773 ;Superunicorn;8;48500,48647;1136,235703
Startup_2418;Blockchain;2; $191.887.973.287 ;191887,97; $7.598.766.655.942.360 ;7598766655,94;6;Australia;2016; 5.654 ;Superunicorn;9;39599,01518;31981,32888
Startup_2419;Biotech;8; $423.054.856.076 ;423054,86; $14.411.157.547.313.800 ;14411157547,31;7;Germany;2021; 7.832 ;Superunicorn;4;34063,51277;60436,40801
Startup_2420;AI;3; $294.911.912 ;294,91; $8.933.271.762.565.550 ;8933271762,57;3;France;2008; 718 ;Superunicorn;17;30291321,25;98,30397067
Startup_2421;AI;4; $43.381.946.554 ;43381,95; $20.702.185.870.927.000 ;20702185870,93;16;USA;2012; 11.647 ;Superunicorn;13;477206,3988;2711,37166
Startup_2422;EdTech;4; $256.289.928.392 ;256289,93; $11.990.291.697.380.300 ;11990291697,38;2;France;2016; 16.272 ;Superunicorn;9;46783,09242;128144,9642
Startup_2423;Fintech;8; $29.513.895.893 ;29513,90; $13.903.988.728.921.700 ;13903988728,92;21;India;2018; 10.218 ;Superunicorn;7;471098,7416;1405,423614
Startup_2424;EdTech;7; $126.873.924.312 ;126873,92; $4.879.221.144.535.420 ;4879221144,54;34;UK;2009; 15.823 ;Superunicorn;16;38456,24148;3731,586009
Startup_2425;Blockchain;1; $233.028.790.301 ;233028,79; $10.749.130.425.044.300 ;10749130425,04;37;Canada;2021; 8.603 ;Superunicorn;4;46126,90725;6298,075414
Startup_2426;HealthTech;2; $314.615.079.631 ;314615,08; $5.736.815.599.605.600 ;5736815599,61;25;Brazil;2003; 4.435 ;Superunicorn;22;18233,39489;12584,60319
Startup_2427;E-commerce;2; $43.541.306.088 ;43541,31; $13.251.735.861.762.700 ;13251735861,76;14;China;2017; 10.238 ;Superunicorn;8;304347,6072;3110,093292
Startup_2428;Biotech;5; $301.074.486.999 ;301074,49; $887.306.987.036.822 ;887306987,04;11;Canada;2004; 824 ;Superunicorn;21;2946,134431;27370,40791
Startup_2429;Blockchain;1; $63.244.565.121 ;63244,57; $13.057.025.498.551.900 ;13057025498,55;18;Brazil;2002; 15.204 ;Superunicorn;23;206451,9256;3513,586951
Startup_2430;EdTech;2; $18.756.657.825 ;18756,66; $33.998.454.846.582.600 ;33998454846,58;50;France;2008; 15.272 ;Superunicorn;17;1812606,297;375,1331565
Startup_2431;EdTech;8; $267.220.797.373 ;267220,80; $6.317.993.694.089.040 ;6317993694,09;22;India;2009; 18.945 ;Superunicorn;16;23642,34571;12146,39988
Startup_2432;Fintech;1; $300.277.943.105 ;300277,94; $10.960.889.309.212.200 ;10960889309,21;47;China;2015; 6.819 ;Superunicorn;10;36501,47899;6388,892406
Startup_2433;SaaS;1; $48.473.070.486 ;48473,07; $22.004.104.985.800.800 ;22004104985,80;9;Australia;2008; 9.358 ;Superunicorn;17;453943,9382;5385,896721
Startup_2434;AI;3; $52.391.214.611 ;52391,21; $16.963.980.309.700.800 ;16963980309,70;8;UK;2013; 15.781 ;Superunicorn;12;323793,3696;6548,901826
Startup_2435;Fintech;7; $44.438.019.095 ;44438,02; $2.219.613.360.629.040 ;2219613360,63;24;USA;2020; 1.756 ;Superunicorn;5;49947,52169;1851,584129
Startup_2436;Fintech;6; $74.998.081.309 ;74998,08; $2.139.025.463.835.290 ;2139025463,84;5;Australia;2017; 15.648 ;Superunicorn;8;28520,06916;14999,61626
Startup_2437;HealthTech;6; $255.516.389.657 ;255516,39; $6.567.375.284.454.300 ;6567375284,45;37;India;2009; 4.072 ;Superunicorn;16;25701,36412;6905,848369
Startup_2438;EdTech;6; $485.534.364.225 ;485534,36; $23.860.481.812.573.800 ;23860481812,57;44;Singapore;2017; 16.021 ;Superunicorn;8;49141,72515;11034,87191
Startup_2439;AI;3; $327.121.298.285 ;327121,30; $1.453.183.996.220.450 ;1453183996,22;49;France;2021; 4.818 ;Superunicorn;4;4441,339902;6675,944863
Startup_2440;EdTech;4; $121.183.356.225 ;121183,36; $28.748.081.976.885.400 ;28748081976,89;32;Australia;2007; 7.826 ;Superunicorn;18;237226,9732;3786,979882
Startup_2441;AI;2; $28.179.516.065 ;28179,52; $12.887.878.647.934.100 ;12887878647,93;42;Singapore;2013; 14.331 ;Superunicorn;12;457348,1829;670,9408587
Startup_2442;HealthTech;2; $466.953.027.907 ;466953,03; $212.591.422.884.277 ;212591422,88;33;China;2000; 1.349 ;Superunicorn;25;454,2736789;14150,09175
Startup_2443;Biotech;6; $426.109.204.447 ;426109,20; $16.229.410.220.397.600 ;16229410220,40;32;Germany;2005; 2.608 ;Superunicorn;20;38086,44343;13315,91264
Startup_2444;E-commerce;3; $28.749.030.922 ;28749,03; $1.413.516.201.036.950 ;1413516201,04;21;Singapore;2014; 18.431 ;Superunicorn;11;49166,4382;1369,001472
Startup_2445;Biotech;1; $54.036.826.326 ;54036,83; $23.397.601.528.057.100 ;23397601528,06;44;Canada;2006; 2.319 ;Superunicorn;19;432992,629;1228,109689
Startup_2446;Fintech;10; $326.456.030.089 ;326456,03; $6.018.548.364.656.940 ;6018548364,66;27;China;2001; 3.489 ;Superunicorn;24;18435,0153;12090,96408
Startup_2447;SaaS;6; $92.986.123.267 ;92986,12; $379.380.135.310.214 ;379380135,31;7;UK;2016; 11.732 ;Superunicorn;9;4078,965074;13283,7319
Startup_2448;Biotech;6; $187.184.812.379 ;187184,81; $8.670.711.970.153.860 ;8670711970,15;25;USA;2004; 18.757 ;Superunicorn;21;46320,66392;7487,392495
Startup_2449;Biotech;2; $101.438.588.025 ;101438,59; $3.905.261.748.246.120 ;3905261748,25;28;Singapore;2022; 3.032 ;Superunicorn;3;38497,77866;3622,806715
Startup_2450;HealthTech;8; $159.723.037.266 ;159723,04; $38.111.286.480.866.600 ;38111286480,87;28;Australia;2014; 2.869 ;Superunicorn;11;238607,576;5704,394188
Startup_2451;HealthTech;6; $37.219.931.731 ;37219,93; $15.149.609.248.294.500 ;15149609248,29;25;China;2019; 17.442 ;Superunicorn;6;407028,4744;1488,797269
Startup_2452;HealthTech;4; $150.622.553.184 ;150622,55; $3.941.068.731.739.830 ;3941068731,74;3;Brazil;2017; 348 ;Superunicorn;8;26164,1967;50207,51773
Startup_2453;AI;7; $16.655.168.045 ;16655,17; $6.442.739.247.261.630 ;6442739247,26;13;Canada;2016; 16.991 ;Superunicorn;9;386830,2364;1281,166773
Startup_2454;Biotech;10; $313.729.559.892 ;313729,56; $5.763.151.422.908.820 ;5763151422,91;44;Australia;2007; 485 ;Superunicorn;18;18368,80686;7130,21727
Startup_2455;SaaS;1; $341.219.440.643 ;341219,44; $8.320.733.264.802.680 ;8320733264,80;24;USA;2009; 3.731 ;Superunicorn;16;24384,28487;14217,47669
Startup_2456;Blockchain;4; $6.467.210.099 ;6467,21; $1.382.789.447.701.210 ;1382789447,70;32;Brazil;2016; 16.504 ;Superunicorn;9;213814,4516;202,1003156
Startup_2457;AI;9; $484.645.439.336 ;484645,44; $20.219.048.706.340.600 ;20219048706,34;15;UK;2012; 4.401 ;Superunicorn;13;41718,25921;32309,69596
Startup_2458;Blockchain;2; $174.805.092.677 ;174805,09; $4.510.308.718.755.890 ;4510308718,76;46;France;2009; 15.681 ;Superunicorn;16;25800,92974;3800,11071
Startup_2459;Fintech;7; $154.235.688.105 ;154235,69; $4.601.703.110.892.360 ;4601703110,89;9;Australia;2023; 16.267 ;Superunicorn;2;29834,52748;17137,29868
Startup_2460;Blockchain;7; $408.215.980.965 ;408215,98; $1.065.813.830.139.220 ;1065813830,14;39;USA;2010; 3.467 ;Superunicorn;15;2609,906676;10467,07644
Startup_2461;HealthTech;8; $100.355.408.259 ;100355,41; $20.218.823.570.258.100 ;20218823570,26;18;India;2021; 11.262 ;Superunicorn;4;201471,1869;5575,300459
Startup_2462;Blockchain;5; $388.529.327.907 ;388529,33; $12.523.046.323.229.400 ;12523046323,23;24;China;2009; 8.333 ;Superunicorn;16;32230,92028;16188,722
Startup_2463;Fintech;9; $53.517.479.788 ;53517,48; $11.353.744.064.938.700 ;11353744064,94;42;USA;2019; 3.171 ;Superunicorn;6;212149,2005;1274,225709
Startup_2464;HealthTech;3; $4.608.231.612 ;4608,23; $1.286.443.520.980.900 ;1286443520,98;45;India;2023; 107 ;Superunicorn;2;279161,0798;102,4051469
Startup_2465;EdTech;10; $395.821.346.526 ;395821,35; $1.822.729.950.620.720 ;1822729950,62;13;Singapore;2020; 16.984 ;Superunicorn;5;4603,930903;30447,79589
Startup_2466;SaaS;6; $416.077.659.021 ;416077,66; $2.057.084.824.633.440 ;2057084824,63;9;Australia;2019; 3.728 ;Superunicorn;6;4942,992498;46230,851
Startup_2467;EdTech;3; $119.879.649.797 ;119879,65; $5.062.080.301.393.290 ;5062080301,39;31;Singapore;2018; 13.118 ;Superunicorn;7;42225,3521;3867,085477
Startup_2468;EdTech;6; $172.178.589.796 ;172178,59; $8.237.637.347.751.200 ;8237637347,75;9;USA;2008; 514 ;Superunicorn;17;47842,56381;19130,95442
Startup_2469;Fintech;3; $254.792.759.932 ;254792,76; $8.294.024.102.564.450 ;8294024102,56;35;Germany;2016; 8.493 ;Superunicorn;9;32551,03996;7279,793141
Startup_2470;HealthTech;3; $154.471.244.552 ;154471,24; $768.748.086.331.633 ;768748086,33;28;USA;2014; 15.133 ;Superunicorn;11;4975,642019;5516,830163
Startup_2471;Biotech;7; $153.377.191.857 ;153377,19; $23.866.282.452.953.800 ;23866282452,95;26;Brazil;2001; 1.725 ;Superunicorn;24;155604,1598;5899,122764
Startup_2472;HealthTech;1; $338.262.225.361 ;338262,23; $136.003.779.539.805 ;136003779,54;29;Australia;2017; 4.456 ;Superunicorn;8;401,0661172;11664,21467
Startup_2473;SaaS;5; $295.754.127.636 ;295754,13; $9.172.976.050.197.960 ;9172976050,20;23;Singapore;2012; 3.395 ;Superunicorn;13;31014,54701;12858,87511
Startup_2474;E-commerce;5; $199.782.981.608 ;199782,98; $6.205.911.544.293.120 ;6205911544,29;35;Singapore;2013; 11.384 ;Superunicorn;12;31062,26422;5708,085189
Startup_2475;Biotech;8; $479.387.993.823 ;479387,99; $15.325.836.029.748.100 ;15325836029,75;49;Singapore;2023; 5.722 ;Superunicorn;2;31968,5867;9783,428445
Startup_2476;Biotech;8; $193.398.570.697 ;193398,57; $8.423.068.740.685.530 ;8423068740,69;15;France;2020; 11.933 ;Superunicorn;5;43551,90068;12893,23805
Startup_2477;EdTech;1; $416.503.537.162 ;416503,54; $9.666.464.619.822.020 ;9666464619,82;42;USA;2013; 14.293 ;Superunicorn;12;23207,60151;9916,750885
Startup_2478;HealthTech;10; $341.150.668.304 ;341150,67; $10.040.159.277.791.500 ;10040159277,79;17;USA;2004; 14.436 ;Superunicorn;21;29429,27879;20067,68637
Startup_2479;Blockchain;1; $12.704.700.603 ;12704,70; $6.340.165.285.132.720 ;6340165285,13;28;Germany;2022; 1.739 ;Superunicorn;3;499039,9049;453,7393073
Startup_2480;AI;2; $66.383.545.003 ;66383,55; $1.484.716.395.714.410 ;1484716395,71;3;China;2017; 10.391 ;Superunicorn;8;22364,72927;22127,84833
Startup_2481;AI;9; $391.775.128.755 ;391775,13; $16.927.394.352.362.800 ;16927394352,36;34;Singapore;2001; 9.311 ;Superunicorn;24;43205,91415;11522,7979
Startup_2482;Fintech;7; $481.671.740.962 ;481671,74; $1.780.582.131.866.660 ;1780582131,87;18;UK;2004; 11.532 ;Superunicorn;21;3695,671364;26759,54116
Startup_2483;Fintech;2; $9.138.378.023 ;9138,38; $2.186.336.153.612.130 ;2186336153,61;23;Brazil;2006; 4.827 ;Superunicorn;19;239246,7252;397,3207836
Startup_2484;SaaS;7; $404.105.976.298 ;404105,98; $760.733.681.568.468 ;760733681,57;23;Germany;2017; 1.447 ;Superunicorn;8;1881,510347;17569,82506
Startup_2485;HealthTech;7; $423.861.930.021 ;423861,93; $11.695.744.675.555.500 ;11695744675,56;50;Germany;2016; 1.841 ;Superunicorn;9;27592,28887;8477,2386
Startup_2486;Blockchain;3; $157.586.750.935 ;157586,75; $4.342.825.249.474.420 ;4342825249,47;9;USA;2020; 1.060 ;Superunicorn;5;27557,31454;17509,63899
Startup_2487;Blockchain;5; $154.330.682.561 ;154330,68; $5.129.477.302.959.310 ;5129477302,96;29;China;2004; 12.184 ;Superunicorn;21;33235,92488;5321,747675
Startup_2488;EdTech;8; $291.823.313.363 ;291823,31; $8.014.367.903.489.040 ;8014367903,49;36;India;2019; 10.225 ;Superunicorn;6;27462,08309;8106,203149
Startup_2489;SaaS;3; $268.535.806.735 ;268535,81; $12.859.910.042.711.600 ;12859910042,71;39;UK;2023; 10.071 ;Superunicorn;2;47887,99551;6885,533506
Startup_2490;Blockchain;6; $25.924.334.969 ;25924,33; $77.290.493.891.415 ;77290493,89;35;UK;2010; 7.932 ;Superunicorn;15;2980,387719;740,6952848
Startup_2491;Biotech;9; $62.248.871.381 ;62248,87; $20.226.332.509.211.500 ;20226332509,21;37;India;2008; 1.103 ;Superunicorn;17;324925,8952;1682,401929
Startup_2492;Fintech;4; $263.671.730.587 ;263671,73; $10.951.546.629.180.500 ;10951546629,18;49;Singapore;2006; 1.307 ;Superunicorn;19;41533,77737;5381,055726
Startup_2493;E-commerce;4; $73.932.683.853 ;73932,68; $28.525.222.750.877.600 ;28525222750,88;45;USA;2010; 5.998 ;Superunicorn;15;385825,9613;1642,94853
Startup_2494;EdTech;4; $485.926.910.181 ;485926,91; $13.303.085.743.609.200 ;13303085743,61;31;USA;2010; 291 ;Superunicorn;15;27375,72161;15675,06162
Startup_2495;HealthTech;9; $19.004.295.092 ;19004,30; $42.335.487.513.343.300 ;42335487513,34;2;India;2015; 9.853 ;Superunicorn;10;2227678,97;9502,147546
Startup_2496;E-commerce;5; $6.392.594.925 ;6392,59; $1.949.590.088.061.020 ;1949590088,06;20;France;2009; 10.435 ;Superunicorn;16;304975,322;319,6297463
Startup_2497;Fintech;6; $394.679.938.901 ;394679,94; $18.330.720.287.354.700 ;18330720287,35;28;France;2002; 14.338 ;Superunicorn;23;46443,51993;14095,7121
Startup_2498;Fintech;8; $485.352.378.209 ;485352,38; $21.507.454.498.547.900 ;21507454498,55;38;Singapore;2017; 19.027 ;Superunicorn;8;44312,07121;12772,43101
Startup_2499;Fintech;5; $425.250.595.326 ;425250,60; $942.647.317.972.862 ;942647317,97;27;Germany;2010; 137 ;Superunicorn;15;2215,686651;15750,02205
Startup_2500;HealthTech;7; $9.535.238.996 ;9535,24; $19.515.999.782.366.400 ;19515999782,37;48;China;2001; 16.359 ;Superunicorn;24;2046722,715;198,6508124
Startup_2501;Fintech;7; $440.308.040.557 ;440308,04; $17.882.734.290.906.000 ;17882734290,91;10;Germany;2021; 4.578 ;Superunicorn;4;40613,14429;44030,80406
Startup_2502;Fintech;10; $300.458.352.849 ;300458,35; $4.897.536.668.221.670 ;4897536668,22;7;France;2019; 18.833 ;Superunicorn;6;16299,21806;42922,62184
Startup_2503;EdTech;4; $8.156.453.033 ;8156,45; $21.931.516.000.210.400 ;21931516000,21;21;India;2000; 1.645 ;Superunicorn;25;2688853,568;388,4025254
Startup_2504;SaaS;5; $283.034.099.542 ;283034,10; $5.576.432.661.097.550 ;5576432661,10;12;UK;2013; 1.275 ;Superunicorn;12;19701,33505;23586,17496
Startup_2505;Fintech;8; $11.308.772.403 ;11308,77; $18.766.499.905.678.800 ;18766499905,68;48;Brazil;2004; 16.816 ;Superunicorn;21;1659462,931;235,5994251
Startup_2506;Biotech;5; $113.184.402.593 ;113184,40; $457.716.383.811.581 ;457716383,81;2;India;2005; 17.223 ;Superunicorn;20;4042,988158;56592,2013
Startup_2507;Biotech;2; $445.610.727.004 ;445610,73; $14.267.322.945.614.800 ;14267322945,61;21;Brazil;2012; 2.466 ;Superunicorn;13;32016,45847;21219,55843
Startup_2508;Blockchain;7; $363.274.016.847 ;363274,02; $14.992.967.729.568.100 ;14992967729,57;25;Australia;2005; 1.156 ;Superunicorn;20;41270,78668;14530,96067
Startup_2509;AI;6; $411.261.679.303 ;411261,68; $19.504.799.531.617.300 ;19504799531,62;41;China;2013; 7.106 ;Superunicorn;12;47425,73707;10030,77267
Startup_2510;Blockchain;3; $7.251.112.849 ;7251,11; $27.268.375.976.154.600 ;27268375976,15;29;France;2014; 1.176 ;Superunicorn;11;3760577,072;250,0383741
Startup_2511;EdTech;4; $246.202.977.893 ;246202,98; $12.058.675.508.684.900 ;12058675508,68;15;India;2005; 13.769 ;Superunicorn;20;48977,59324;16413,53186
Startup_2512;Blockchain;2; $42.741.768.402 ;42741,77; $7.506.287.568.990.660 ;7506287568,99;17;Brazil;2007; 11.729 ;Superunicorn;18;175618,49;2514,221671
Startup_2513;Blockchain;2; $114.021.575.492 ;114021,58; $31.562.587.285.427.100 ;31562587285,43;14;Germany;2011; 15.192 ;Superunicorn;14;276811,4116;8144,398249
Startup_2514;Fintech;2; $133.451.270.062 ;133451,27; $4.191.730.390.977.510 ;4191730390,98;16;Australia;2014; 2.422 ;Superunicorn;11;31409,19482;8340,704379
Startup_2515;Biotech;2; $464.234.630.228 ;464234,63; $13.226.976.305.278.400 ;13226976305,28;33;Australia;2007; 13.505 ;Superunicorn;18;28491,00694;14067,71607
Startup_2516;SaaS;7; $40.275.818.125 ;40275,82; $17.450.698.517.724.300 ;17450698517,72;47;Germany;2002; 15.983 ;Superunicorn;23;433278,8024;856,9323005
